tick,L,b,e_flux,v_coupling,total_q,total_sq,reaction_l1
1094,32,1,492565,-35.5428,76,27892,3492
1094,32,2,194551,81.4061,76,92864,2032
1094,32,4,100644,99.8271,76,547644,870
1095,32,1,493831,86.6851,89,27873,3513
1095,32,2,194448,60.2225,89,92465,2015
1095,32,4,100163,48.7222,89,544401,827
1096,32,1,494260,97.1171,88,27868,3595
1096,32,2,194670,-39.6424,88,92194,2131
1096,32,4,100373,24.8458,88,539944,815
1097,32,1,494250,45.5382,133,27955,3405
1097,32,2,194726,-32.0115,133,92039,2075
1097,32,4,100643,157.23,133,540731,829
1098,32,1,492624,15.389,102,27862,3487
1098,32,2,194765,108.306,102,91786,2037
1098,32,4,100528,129.927,102,541762,797
1099,32,1,491528,59.8162,75,27861,3583
1099,32,2,194862,20.5284,75,91631,2095
1099,32,4,100621,108.562,75,540579,823
1100,32,1,489142,106.094,127,27915,3532
1100,32,2,194359,92.6884,127,91983,2070
1100,32,4,100473,84.5829,127,543407,844
1101,32,1,488091,40.2693,106,27914,3457
1101,32,2,194028,111.591,106,91552,2081
1101,32,4,100063,38.1023,106,542334,803
1102,32,1,487745,2.03891,-11,27857,3495
1102,32,2,194741,-49.3841,-11,91621,2103
1102,32,4,100481,-21.8813,-11,542667,851
1103,32,1,487523,50.3729,-45,27791,3658
1103,32,2,194619,-21.9804,-45,91241,2176
1103,32,4,100007,-4.56916,-45,540831,842
1104,32,1,484634,16.9097,-78,27814,3515
1104,32,2,194066,114.532,-78,91212,2123
1104,32,4,100307,8.25601,-78,540626,863
1105,32,1,485683,-59.645,-110,27898,3552
1105,32,2,194326,-43.7745,-110,91686,2068
1105,32,4,100176,22.6021,-110,541216,912
1106,32,1,485712,174.763,-88,27840,3530
1106,32,2,194402,78.4424,-88,91132,2092
1106,32,4,99784,108.911,-88,537384,816
1107,32,1,486588,77.6304,-154,27874,3492
1107,32,2,194526,71.372,-154,91192,2052
1107,32,4,100139,137.734,-154,535576,894
1108,32,1,487693,35.8599,-160,27920,3484
1108,32,2,194669,5.17513,-160,91296,2084
1108,32,4,99342,30.2235,-160,536424,854
1109,32,1,485748,108.285,-185,27941,3537
1109,32,2,194023,129.583,-185,91363,2071
1109,32,4,99389.1,201.692,-185,535765,827
1110,32,1,486647,78.6764,-199,27841,3496
1110,32,2,194140,47.377,-199,91303,2046
1110,32,4,99398.4,2.57904,-199,534603,818
1111,32,1,486539,53.5836,-231,27889,3560
1111,32,2,194195,158.609,-231,91441,2096
1111,32,4,99586.6,134.577,-231,539215,842
1112,32,1,483755,155.553,-224,27748,3563
1112,32,2,193270,182.014,-224,90422,2115
1112,32,4,99402.5,152.298,-224,532504,861
1113,32,1,482548,99.4111,-227,27637,3665
1113,32,2,192753,91.4189,-227,89637,2173
1113,32,4,99401,212.475,-227,528201,835
1114,32,1,481970,-24.9035,-158,27722,3539
1114,32,2,191989,-26.6328,-158,89268,2069
1114,32,4,99047.3,-22.4876,-158,524874,853
1115,32,1,479795,46.1834,-97,27659,3659
1115,32,2,190447,-46.4046,-97,89255,2117
1115,32,4,98753.5,-4.0554,-97,521055,845
1116,32,1,476112,223.54,-145,27731,3654
1116,32,2,189846,196.334,-145,89281,2130
1116,32,4,98432,129.453,-145,520939,858
1117,32,1,473257,32.6928,-123,27663,3610
1117,32,2,188715,-61.8092,-123,88831,2128
1117,32,4,97557.2,-75.1165,-123,519061,866
1118,32,1,473909,-4.17094,-140,27732,3589
1118,32,2,189250,-121.982,-140,89110,2109
1118,32,4,98168.3,-178.101,-140,522136,851
1119,32,1,474292,-25.186,-235,27803,3637
1119,32,2,189375,99.8732,-235,89843,2139
1119,32,4,98248.9,134.377,-235,524847,855
1120,32,1,470857,154.531,-290,27746,3667
1120,32,2,188269,92.634,-290,89650,2119
1120,32,4,98190.5,-98.3346,-290,524342,817
1121,32,1,470330,-42.1783,-278,27784,3498
1121,32,2,188212,48.2699,-278,89836,2106
1121,32,4,97814.3,-3.1567,-278,523852,870
1122,32,1,471207,67.8182,-264,27824,3504
1122,32,2,188357,99.5998,-264,89838,2016
1122,32,4,97255.8,-9.16736,-264,523578,826
1123,32,1,469372,30.1645,-361,27803,3497
1123,32,2,187735,60.2981,-361,89477,2019
1123,32,4,97059.4,8.05278,-361,521087,793
1124,32,1,469160,74.9378,-384,27822,3509
1124,32,2,187614,-8.7012,-384,89228,2139
1124,32,4,96969.6,21.3643,-384,518650,825
1125,32,1,468601,16.35,-327,27825,3487
1125,32,2,187860,76.5432,-327,88881,2029
1125,32,4,97159.2,129.828,-327,518695,855
1126,32,1,467604,142.471,-344,27858,3537
1126,32,2,188462,137.193,-344,88852,2097
1126,32,4,97021.6,135.927,-344,517856,859
1127,32,1,464556,-9.16368,-358,27752,3484
1127,32,2,187910,56.1809,-358,89334,2010
1127,32,4,97184.3,-6.63631,-358,520116,850
1128,32,1,466395,204.334,-389,27757,3525
1128,32,2,187960,139.937,-389,89717,2073
1128,32,4,96968.8,136.885,-389,522229,851
1129,32,1,467320,139.748,-405,27743,3540
1129,32,2,188363,151.067,-405,89693,2108
1129,32,4,96920.7,136.481,-405,524325,856
1130,32,1,464928,-67.046,-456,27842,3549
1130,32,2,187766,-69.2508,-456,89532,2117
1130,32,4,96957.1,-45.3073,-456,525172,823
1131,32,1,462565,60.163,-507,27793,3595
1131,32,2,187025,-21.4839,-507,89205,2099
1131,32,4,97094.5,177.221,-507,522979,855
1132,32,1,462280,132.931,-522,27880,3571
1132,32,2,186617,136.912,-522,89732,2097
1132,32,4,97127.6,50.8716,-522,526076,841
1133,32,1,463707,159.544,-462,27966,3434
1133,32,2,187155,98.455,-462,90252,2116
1133,32,4,97078.3,155.318,-462,527204,874
