backend,L,orientation,direction,stage,tick,transported_events,annihilation_pairs,reaction_sites,reaction_l1,current_l1,transport_residual,curl_l1,curl_divergence,gauss_residual,total_state,radius,boundary_flux,divergence_sum,telescope_residual,plateau,valid
wsl2_gcc_cpu,32,1,+x,stationary,19,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.6653345369377348e-15,0,3,0.99999999999999878,0.99999999999999889,-1.1102230246251565e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,19,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.6653345369377348e-15,0,4,0.99999999999999867,0.99999999999999867,0,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,20,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.7763568394002505e-15,0,2,0.99999999999999878,0.99999999999999889,-1.1102230246251565e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,20,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.7763568394002505e-15,0,3,0.99999999999999878,0.99999999999999878,0,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,stationary,20,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.7763568394002505e-15,0,4,0.99999999999999856,0.99999999999999856,0,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,-x,moving,1,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,2.2204460492503131e-16,0,2,1,0.99999999999999978,2.2204460492503131e-16,0,1
wsl2_gcc_cpu,32,1,-x,moving,1,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,2.2204460492503131e-16,0,3,1,0.99999999999999978,2.2204460492503131e-16,0,1
wsl2_gcc_cpu,32,1,-x,moving,1,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,2.2204460492503131e-16,0,4,1,0.99999999999999978,2.2204460492503131e-16,0,1
wsl2_gcc_cpu,32,1,-x,moving,2,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,6.5052130349130266e-19,0,2,1,1,0,0,1
wsl2_gcc_cpu,32,1,-x,moving,2,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,6.5052130349130266e-19,0,3,1,1,0,0,1
wsl2_gcc_cpu,32,1,-x,moving,2,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,6.5052130349130266e-19,0,4,1,1,0,0,1
wsl2_gcc_cpu,32,1,-x,moving,3,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-16,0,2,0.99999999999999989,1,-1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,-x,moving,3,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-16,0,3,0.99999999999999989,1,-1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,-x,moving,3,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-16,0,4,0.99999999999999989,1,-1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,-x,moving,4,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-16,0,2,0.99999999999999989,1,-1.1102230246251565e-16,0,1
