direction,L,n_perp,n_z,k_motion,omega,omega0,v_g,v_norm,omega_proper,dilation_meas,dilation_L2,dilation_L1
110,193,3,0,0.00000000,0.05636514,0.05636514,0.00000000,0.00000000,0.05636514,1.00000000,1.00000000,1.00000000
110,193,3,1,0.04604024,0.06230850,0.05636514,0.22886474,0.39640536,0.05177151,0.91850242,0.91807559,0.60359464
110,193,3,2,0.09208048,0.07743911,0.05636514,0.38272182,0.66289363,0.04219790,0.74865256,0.74871358,0.33710637
110,193,3,3,0.13812071,0.09754971,0.05636514,0.46367408,0.80310707,0.03350671,0.59445812,0.59583473,0.19689293
110,193,3,4,0.18416095,0.12013444,0.05636514,0.50443160,0.87370115,0.02723784,0.48323911,0.48646305,0.12629885
110,193,3,5,0.23020119,0.14399801,0.05636514,0.52589127,0.91087039,0.02293722,0.40693976,0.41269253,0.08912961
110,193,3,6,0.27624143,0.16855876,0.05636514,0.53769941,0.93132270,0.02002391,0.35525339,0.36419503,0.06867730
110,193,3,7,0.32228166,0.19350963,0.05636514,0.54425123,0.94267078,0.01810744,0.32125242,0.33372415,0.05732922
110,193,3,8,0.36832190,0.21867367,0.05636514,0.54768047,0.94861040,0.01695096,0.30073479,0.31644637,0.05138960
110,193,3,9,0.41436214,0.24394031,0.05636514,0.54910170,0.95107204,0.01641335,0.29119687,0.30896922,0.04892796
111,193,3,0,0.00000000,0.07968068,0.07968068,0.00000000,0.00000000,0.07968068,1.00000000,1.00000000,1.00000000
111,193,3,1,0.05638755,0.08605356,0.07968068,0.20511731,0.35527361,0.07448750,0.93482510,0.93476236,0.64472639
111,193,3,2,0.11277509,0.10281280,0.07968068,0.35275998,0.61099821,0.06303026,0.79103572,0.79163198,0.38900179
111,193,3,3,0.16916264,0.12583610,0.07968068,0.43840442,0.75933873,0.05167445,0.64851922,0.65069555,0.24066127
111,193,3,4,0.22555018,0.15225390,0.07968068,0.48487536,0.83982876,0.04289017,0.53827572,0.54285141,0.16017124
111,193,3,5,0.28193773,0.18051796,0.07968068,0.51038544,0.88401351,0.03662105,0.45959764,0.46746135,0.11598649
111,193,3,6,0.33832527,0.20981266,0.07968068,0.52464626,0.90871398,0.03231158,0.40551331,0.41741934,0.09128602
111,193,3,7,0.39471282,0.23968499,0.07968068,0.53249276,0.92230452,0.02950327,0.37026884,0.38646393,0.07769548
111,193,3,8,0.45110036,0.26986458,0.07968068,0.53640353,0.92907817,0.02789276,0.35005671,0.36988342,0.07092183
111,193,3,9,0.50748791,0.30017795,0.07968068,0.53771933,0.93135719,0.02729189,0.34251583,0.36410683,0.06864281
