arm,L,direction,amplitude,tick,activity,centroid_x,displacement,width_x,core_fraction,leading_fraction,trailing_fraction,normalized_divergence,exact_tick_energy,relative_energy_drift,best_shift,overlap,explained_fraction,leading_excess_fraction,trailing_excess_fraction,bound_clause,trailing_wake_clause,symmetric_dispersion_clause,valid
localized_finite,49,1,1,24,16.095853851732162,25.287194781200153,10.882587396364638,3.4311308321890461,0.97009075365847242,0.0073356915291689926,0.02257355481242591,3.1262369016418633e-16,14.813298729272244,3.7415309088404448e-17,11,0.96930263633340963,0.85212607670489737,0.0050168108468966873,0.018400196584667915,0,0,0,1
localized_finite,49,1,1,28,16.095858193263304,27.156540296439776,12.751932911604261,3.6475724113475456,0.96291661216898483,0.012662562399233612,0.024420825431855021,3.3437623145946728e-16,14.813298729272244,6.2885824665017807e-17,13,0.94333611241475779,0.81137136983007752,0.010343681716961312,0.020247467204097019,0,0,0,1
localized_finite,49,1,1,32,16.095571140333959,29.028518261270705,14.62391087643519,3.6440367142764503,0.95375771583897362,0.019138489214776754,0.027103794946201059,3.6213730085171118e-16,14.813298729272244,7.2254290164461803e-17,15,0.91827374086300873,0.77497921088951305,0.016819608532504454,0.022930436718443057,0,0,0,1
localized_finite,65,-1,0.5,0,4.0880197450679452,42.595528274869295,0,2.3070114501160131,0.99350776108996475,0.0023188806822722792,0.0041733582277579551,2.0507051522043438e-17,3.703324682318061,0,0,1,1,0,0,0,0,0,1
localized_finite,65,-1,0.5,4,4.1720010386010609,40.903546458718573,-1.6919818161507223,2.3472047582099163,0.99125254027043352,0.0033480939130866917,0.0053993658165155277,1.5562323543836496e-16,3.703324682318061,3.2145547244967201e-17,-2,0.93207204693276702,0.82023202541421614,0.0011905633366628707,0.0012388488905111642,0,0,0,1
localized_finite,65,-1,0.5,8,4.0105453507583899,39.027884221040836,-3.5676440538284595,2.4360260089791104,0.97658858927695047,0.013747340546890993,0.0096640701762093946,2.0142453158237015e-16,3.703324682318061,9.1928067713294187e-18,-5,0.90803750731987565,0.75067003406327615,9.2680847333556383e-12,0.0093537671079837129,0,0,0,1
localized_finite,65,-1,0.5,12,4.0185335555225201,37.237929111025821,-5.3575991638434743,2.6132562423541255,0.97659270121642772,0.010365856653390539,0.013041442130217866,2.2834303085268338e-16,3.703324682318061,7.904642765155869e-18,-4,0.91309942566832525,0.76484310589994331,0.0098443955057410243,0.0089041421988083312,0,0,0,1
localized_finite,65,-1,0.5,16,4.0238635999674734,35.438703856859249,-7.1568244180100464,2.8539085771975876,0.97621027831424401,0.0079500182282363045,0.015839703457597248,2.6084762493370267e-16,3.703324682318061,1.2296110968020241e-17,-7,0.95471693334073326,0.83521612937088763,0.0056311375459640262,0.012134191585533118,0,0,0,1
localized_finite,65,-1,0.5,20,4.0239613911499976,33.617460757917726,-8.9780675169515689,3.1282322476167694,0.97465799038252587,0.0068728867976388204,0.018469122819951892,2.9418890101326329e-16,3.703324682318061,7.8460898557843447e-18,-9,0.98150536354945683,0.88298544560424785,0.0045540061153665412,0.01429576459219393,0,0,0,1
localized_finite,65,-1,0.5,24,4.0239626569480116,31.781350140461459,-10.814178134407836,3.4353075443688752,0.97009096020825758,0.0069519147268680857,0.022957125065026684,3.1570512632070999e-16,3.703324682318061,5.1702218975056539e-17,-11,0.96930263493964941,0.85212618976298526,0.0046330340445958074,0.01878376683726873,0,0,0,1
