k,d,l,m,A_N,R_N,lambda_max,log_psi,hits_1e-03,hits_1e-04,hits_1e-05,hits_1e-06,alpha_inv_rel_residual
2,5,2,2,4.3823694989293223e-5,1.000099619616039235595963,137.0358636717561085010847,-1.0462081795801826e-5,1,1,1,1,9.881508859e-7
2,5,2,3,2.9215796659528815e-5,1.000085011717709471188459,137.0359088424797617581333,-6.9747211972012171e-6,1,1,1,1,6.585241896e-7
2,5,2,4,1.4607898329764408e-5,1.000070403819379706780956,137.0359540131729640445103,-3.4873605986006085e-6,1,1,1,1,3.288977155e-7
2,5,2,5,0.0,1.000055795921049942373452,137.0359991838357154217997,0.0,1,1,1,1,7.285364144e-10
2,5,2,6,-1.4607898329764408e-5,1.000041188022720177965948,137.0360443544680159515847,3.4873605986006085e-6,1,1,1,1,3.303545661e-7
2,5,2,7,-2.9215796659528815e-5,1.000026580124390413558445,137.0360895250698656954488,6.9747211972012171e-6,1,1,1,1,6.599803736e-7
2,5,2,8,-4.3823694989293223e-5,1.000011972226060649150941,137.036134695641264714975,1.0462081795801826e-5,1,1,1,1,9.896059588e-7
2,5,3,2,7.2957654262727731e-5,1.000128753575312670104112,137.0357735832764509815741,-1.7423778168603648e-5,1,1,1,0,1.645558284e-6
2,5,3,3,7.2916735569680577e-5,1.000128712656619622950684,137.0357737098059516996467,-1.7417265756403951e-5,1,1,1,0,1.644634954e-6
2,5,3,4,7.2875816876633424e-5,1.000128671737926575797255,137.0357738363354521787887,-1.7410753344204254e-5,1,1,1,0,1.643711624e-6
2,5,3,5,7.283489818358627e-5,1.000128630819233528643826,137.0357739628649524190001,-1.7404240932004557e-5,1,1,1,0,1.642788293e-6
2,5,3,6,7.2793979490539117e-5,1.000128589900540481490397,137.0357740893944524202809,-1.739772851980486e-5,1,1,1,0,1.641864963e-6
