x,z,density,Jx,Jy,Jz,state
21,23,1.87053655e-02,1.76357227e-02,-3.25391247e-03,5.31827382e-03,0
21,24,2.42175718e-02,2.25121281e-02,1.12407667e-03,8.85614600e-03,0
21,25,3.46062356e-02,3.45280129e-02,1.96791984e-03,-1.23901536e-03,0
21,26,3.99531811e-02,3.94625500e-02,-1.64800520e-03,-6.02062362e-03,0
21,27,3.71977046e-02,3.68670674e-02,-2.98973964e-03,-3.94335206e-03,0
21,28,2.29730101e-02,2.28182420e-02,3.95722325e-05,-2.66185223e-03,0
21,29,2.33596499e-03,1.56227657e-03,1.56116273e-03,7.60785970e-04,0
21,30,2.23964279e-02,-2.18184394e-02,2.04076537e-03,4.62503608e-03,0
21,31,3.48766147e-02,-3.48348034e-02,9.58120937e-04,1.41305700e-03,0
22,0,4.97483741e-02,-4.97306740e-02,-1.32693531e-03,-5.96043172e-06,0
22,1,3.80691758e-02,-3.78040243e-02,-4.18284747e-04,4.46575092e-03,0
22,2,7.40138757e-03,-7.32011754e-03,1.00520573e-03,-4.31252323e-04,0
22,3,1.23325802e-02,1.18695236e-02,2.70983708e-03,1.96563672e-03,0
22,4,2.03404144e-02,2.00842685e-02,3.18488315e-03,-4.59492544e-04,0
22,5,3.52737504e-02,3.52305804e-02,-1.18366976e-03,1.28163961e-03,0
22,6,2.93601139e-02,2.76450902e-02,-5.62107654e-03,8.13441910e-03,0
22,7,2.83384900e-02,2.52839129e-02,-1.50957166e-03,1.27088535e-02,0
22,8,3.29904758e-02,3.15117014e-02,9.69995190e-03,-1.13802494e-03,0
22,9,1.97366024e-02,1.80638825e-02,5.69829821e-03,-5.54608145e-03,0
22,10,1.43950733e-02,-3.77946839e-04,-1.09893360e-02,9.29030593e-03,0
22,11,1.55799542e-02,-1.24245616e-02,-4.30140301e-03,8.35841923e-03,0
22,12,7.90119627e-02,3.28108485e-02,-1.69656067e-03,-7.18572205e-02,0
22,13,1.03361153e-01,6.58481951e-02,-5.32063124e-03,-7.94936104e-02,0
22,14,3.49621641e-02,2.73668880e-02,2.17548750e-02,3.63011646e-04,0
22,15,7.33610535e-02,6.24248469e-02,1.94272683e-02,-3.32800826e-02,0
22,16,4.88971539e-02,4.73393132e-02,1.22421915e-02,2.23242676e-04,0
22,17,7.27635824e-02,6.21853237e-02,1.96627796e-02,3.22629746e-02,0
22,18,3.45849115e-02,2.64385750e-02,2.22957383e-02,1.33821770e-04,0
22,19,1.03395342e-01,6.60986773e-02,-3.71930162e-03,7.94212091e-02,0
22,20,8.08439918e-02,3.31924024e-02,-1.01332318e-02,7.30159780e-02,0
22,21,1.58372686e-02,-1.25633391e-02,-4.91659219e-03,-8.29510151e-03,0
22,22,1.46258428e-02,-2.35957209e-04,-1.12991958e-02,-9.28373722e-03,0
22,23,1.96997829e-02,1.79835890e-02,5.83457521e-03,5.53441089e-03,0
22,24,3.27869380e-02,3.12530121e-02,9.83950315e-03,1.19025922e-03,0
22,25,2.83825461e-02,2.53260892e-02,-1.46012083e-03,-1.27289501e-02,0
22,26,2.94950489e-02,2.77750816e-02,-5.61330283e-03,-8.18496104e-03,0
22,27,3.52286947e-02,3.51856623e-02,-1.20678375e-03,-1.25449923e-03,0
22,28,2.02742030e-02,2.00175681e-02,3.17679193e-03,4.98262884e-04,0
22,29,1.23227746e-02,1.18747032e-02,2.64675159e-03,-1.95880151e-03,0
22,30,7.37433677e-03,-7.30911332e-03,8.77780563e-04,4.32673659e-04,0
22,31,3.80653665e-02,-3.77981244e-02,-5.43474537e-04,-4.46973734e-03,0
23,0,3.37088497e-02,-3.36898531e-02,-1.13148417e-03,9.49578272e-06,0
23,1,2.31821107e-02,-2.30018759e-02,-1.42981629e-03,-2.50591021e-03,0
23,2,1.81696899e-02,-1.02272828e-02,-9.57983520e-04,-1.49874142e-02,0
23,3,6.41762701e-03,4.50974857e-03,2.66631985e-03,-3.70659450e-03,0
23,4,2.06302793e-02,1.97376268e-02,5.63802577e-03,-2.06086799e-03,0
23,5,1.78571824e-02,1.64468133e-02,9.52648289e-04,-6.89012020e-03,0
23,6,9.22482357e-03,7.19529858e-03,-3.80296155e-03,4.34310161e-03,0
23,7,2.23389505e-02,1.75722311e-02,-2.30120554e-03,1.35996271e-02,0
23,8,3.03120490e-02,2.24254642e-02,7.41015350e-04,2.03806223e-02,0
23,9,1.25000134e-02,-1.09969479e-04,4.97002701e-03,1.14689613e-02,0
23,10,2.77542489e-02,2.86553937e-03,2.03939577e-03,2.75304900e-02,0
23,11,5.74012749e-03,4.62674269e-03,3.99364260e-04,-3.37384408e-03,0
23,12,1.57271521e-02,-1.38791372e-02,9.56745187e-04,-7.33467800e-03,0
23,13,3.22098584e-02,2.31244680e-02,-1.05849725e-02,-1.97659382e-02,0
23,14,3.33654206e-02,1.66503544e-02,-2.88284249e-03,-2.87698837e-02,0
