x,y,density,Jx,Jy,Jz,state
17,6,6.10946328e-03,2.20230048e-03,-5.69872039e-03,6.00640601e-20,0
17,7,9.07167210e-03,3.42269960e-03,-8.40121195e-03,-1.91328511e-19,0
17,8,1.34792457e-02,5.37932312e-03,-1.23593263e-02,-1.39623105e-18,0
17,9,1.98755906e-02,8.22594300e-03,-1.80934508e-02,7.37205931e-19,0
17,10,2.69383504e-02,8.12385246e-03,-2.56841924e-02,-2.16168778e-18,0
17,11,2.80101771e-02,-1.70851248e-02,-2.21961377e-02,1.80896417e-08,0
17,12,1.04381623e-01,-8.85696319e-02,5.52353465e-02,5.08243559e-07,0
17,13,2.51437838e-01,-9.77484703e-02,2.31659713e-01,4.76301072e-06,0
17,14,3.13842861e-01,9.83525060e-02,2.98033766e-01,1.76454855e-05,0
17,15,3.64353082e-01,3.37350252e-01,1.37651645e-01,1.47965923e-05,0
17,16,3.67490535e-01,3.67488724e-01,1.15003639e-03,-9.25006887e-05,0
17,17,3.71402568e-01,3.46221745e-01,-1.34426027e-01,-1.16832467e-04,0
17,18,3.13836944e-01,8.79952673e-02,-3.01248165e-01,-5.85586396e-05,0
17,19,2.52025586e-01,-1.11586131e-01,-2.25976617e-01,-1.33507683e-05,0
17,20,1.05719331e-01,-9.12155629e-02,-5.34443460e-02,-1.25147893e-06,0
17,21,3.02777960e-02,-1.95038177e-02,2.31591455e-02,-3.96331546e-08,0
17,22,2.71852182e-02,6.45156544e-03,2.64085856e-02,2.81372934e-18,0
17,23,1.98602377e-02,7.32260187e-03,1.84610006e-02,1.61090491e-18,0
17,24,1.34893414e-02,4.77762073e-03,1.26149384e-02,2.50966080e-19,0
17,25,9.07851392e-03,3.04265126e-03,8.55346061e-03,-2.96012741e-19,0
17,26,6.12153416e-03,1.94888983e-03,5.80301723e-03,5.35859767e-21,0
17,27,4.15819100e-03,1.27410947e-03,3.95818108e-03,1.98808708e-19,0
17,28,2.79327811e-03,8.48328787e-04,2.66134193e-03,3.74691121e-20,0
17,29,1.82750978e-03,5.82434156e-04,1.73221317e-03,-1.14503969e-19,0
17,30,1.12335105e-03,4.23550369e-04,1.04044349e-03,3.29099668e-20,0
17,31,5.98338435e-04,3.41781184e-04,4.91115572e-04,1.16422149e-19,0
18,0,6.02429929e-04,6.02139437e-04,1.87060841e-05,1.07044946e-19,0
18,1,7.60972678e-04,6.64204158e-04,-3.71365390e-04,-1.81495232e-20,0
18,2,1.16851450e-03,8.43420332e-04,-8.08744880e-04,6.82046991e-20,0
18,3,1.78492328e-03,1.17013975e-03,-1.34785907e-03,8.89095535e-20,0
18,4,2.66591898e-03,1.70030322e-03,-2.05331269e-03,1.14054181e-19,0
18,5,3.92146152e-03,2.53027105e-03,-2.99592871e-03,4.65704450e-19,0
18,6,5.74590190e-03,3.81630375e-03,-4.29548767e-03,-6.30146779e-20,0
18,7,8.40592902e-03,5.80963676e-03,-6.07517600e-03,-6.40436120e-20,0
18,8,1.21777830e-02,8.76247654e-03,-8.45679628e-03,7.54611863e-20,0
18,9,1.54735155e-02,1.13568142e-02,-1.05096361e-02,-1.67729878e-18,0
18,10,1.06103810e-02,-1.93233544e-04,-1.06086213e-02,1.11509384e-08,0
18,11,7.76639956e-02,-7.58205111e-02,1.68210078e-02,4.13491573e-07,0
18,12,2.54797362e-01,-2.11729206e-01,1.41747800e-01,5.73408761e-06,0
18,13,3.07626806e-01,-1.18973662e-01,2.83689122e-01,3.86827575e-05,0
18,14,4.23618403e-01,3.91515258e-01,1.61766298e-01,1.38042643e-04,0
18,15,6.81552954e-01,6.77909034e-01,-7.03827725e-02,1.90413175e-04,0
18,16,4.61461483e-01,4.61286240e-01,1.27141524e-02,-2.34944346e-04,0
18,17,6.78226795e-01,6.73555306e-01,7.94646486e-02,-4.52637820e-04,0
18,18,4.10895666e-01,3.61180311e-01,-1.95918321e-01,-2.05946688e-04,0
18,19,3.12526549e-01,-1.38781587e-01,-2.80022342e-01,-5.87959529e-05,0
18,20,2.47010394e-01,-2.11899646e-01,-1.26935710e-01,-8.89720724e-06,0
18,21,7.73450666e-02,-7.58485558e-02,-1.51411993e-02,-6.18493481e-07,0
18,22,1.22328863e-02,-1.80169569e-03,1.20994793e-02,-1.56153659e-08,0
18,23,1.56146694e-02,1.04976008e-02,1.15593373e-02,1.02234432e-18,0
18,24,1.21907311e-02,8.27076090e-03,8.95591649e-03,8.77125208e-19,0
18,25,8.42861706e-03,5.47304393e-03,6.40994350e-03,-1.16460194e-19,0
18,26,5.76262512e-03,3.60012226e-03,4.49966310e-03,5.59653442e-19,0
18,27,3.93845502e-03,2.38638614e-03,3.13314366e-03,1.36742225e-19,0
18,28,2.67783329e-03,1.60601306e-03,2.14278165e-03,-6.46837021e-20,0
18,29,1.79524878e-03,1.10926783e-03,1.41153926e-03,9.63088147e-20,0
18,30,1.17692564e-03,8.07058520e-04,8.56627406e-04,-5.02283705e-20,0
18,31,7.66797657e-04,6.47194108e-04,4.11240117e-04,6.22152181e-20,0
19,0,8.07683881e-04,8.07251316e-04,2.64303664e-05,6.63796452e-21,0
19,1,9.13232831e-04,8.83852341e-04,-2.29780859e-04,7.43328092e-20,0
19,2,1.22364949e-03,1.11203478e-03,-5.10584698e-04,3.43250548e-20,0
19,3,1.74473400e-03,1.52696417e-03,-8.44083602e-04,3.61217435e-20,0
19,4,2.52807860e-03,2.19379885e-03,-1.25635505e-03,1.08659824e-19,0
19,5,3.67489313e-03,3.21671313e-03,-1.77696262e-03,1.96886128e-19,0
19,6,5.32994593e-03,4.75476436e-03,-2.40843094e-03,4.60673863e-19,0
19,7,7.73291397e-03,7.02733275e-03,-3.22715866e-03,-1.38199644e-19,0
19,8,1.06621891e-02,9.92937657e-03,-3.88455365e-03,-2.27099812e-19,0
19,9,9.97231983e-03,9.36157393e-03,-3.43629107e-03,3.72540359e-09,0
19,10,2.10587868e-02,-2.10468584e-02,-7.08698657e-04,1.71752853e-07,0
19,11,1.42874945e-01,-1.40149375e-01,2.77741321e-02,3.15021169e-06,0
19,12,2.84293664e-01,-2.60223984e-01,1.14483032e-01,3.00687036e-05,0
19,13,1.55867522e-01,6.21371111e-02,1.42946273e-01,1.63764247e-04,0
19,14,6.92123711e-01,6.90590145e-01,-4.60461022e-02,4.88648120e-04,0
