arm,L,polarity,tick,source_index,source_x,source_y,source_z,activity,field_norm2,wave_norm2,mean_radius,near_activity,near_fraction,leading_activity,trailing_activity,transverse_activity,leading_fraction,trailing_fraction,transverse_fraction,radial_alignment,signed_source_divergence,manifested_count,max_support_radius,exact_tick_energy,relative_release_energy_drift,movement_events,reaction_events,valid
production_moving,65,1,4,137312,32,32,32,0.0082152019409178281,0.01424903276687005,0.0089647733415544415,1.5653581667507854,0.0081898869038831614,0.99691851311547452,1.6019798983744166e-08,1.6019798983744166e-08,2.5282997436735111e-05,1.9500188916785636e-06,1.9500188916785636e-06,0.0030775868467465104,0.99233897229093493,0.047458079501585808,1,4,0.0085811460710193653,0,6,0,1
production_moving,65,1,5,137312,32,32,32,0.0041310247342089563,0.011340638352754069,0.0037486965606391667,2.2402604263875814,0.003991154853089888,0.96614160163196128,4.8157094489379152e-07,4.8157094489379173e-07,0.00013890673922926892,0.00011657421000312815,0.00011657421000312821,0.033625249948029651,0.99449726262669869,0.043586242357063383,1,5,0.0038887097984421563,0,6,0,1
production_moving,65,1,6,137312,32,32,32,0.01421695416522206,0.02004837317539029,0.0094474688138257764,1.5365871786979302,0.013823116673485084,0.97229804027219879,3.8053434039776778e-06,3.8053434039776846e-06,0.0003862268049290334,0.00026766235297335508,0.00026766235297335557,0.027166635021855314,0.93955023383488245,0.13015437978535602,1,6,0.0074208566324609516,0,6,0,1
production_moving,65,1,7,137312,32,32,32,0.016380065443955358,0.026822610717712716,0.004355156087098311,1.5582690983699343,0.015682923211566887,0.95743959419614322,1.4284738327962888e-05,1.4284738327962863e-05,0.00066857275573257058,0.00087208066273229104,0.00087208066273228952,0.040816244478393715,0.97254758419283038,0.17094673657505355,1,7,0.012860712646423729,0,6,0,1
production_moving,65,1,8,137312,32,32,32,0.011304087688017907,0.018364077503734668,0.0080159290245294303,1.875255823955748,0.010435924250796076,0.92319915934993446,3.3121289590961024e-05,3.3121289590961031e-05,0.00080192085803984406,0.0029300276594694933,0.0029300276594694937,0.070940785331120804,0.90841839820942483,0.1124654808586964,1,8,0.012105179592022456,0,6,0,1
production_moving,65,1,9,137312,32,32,32,0.0073539869058643686,0.014203499142789542,0.0062518938971228444,2.3818517199730551,0.0063873563631948287,0.86855693992347072,5.5440403440398383e-05,5.5440403440398437e-05,0.00085574973578885698,0.0075388227025789166,0.0075388227025789236,0.11636541467138693,0.90677471207538984,0.051404846625804961,1,9,0.0069992739267392516,0,6,0,1
production_moving,65,1,10,137312,32,32,32,0.0075936050162619872,0.014218776664685392,0.0060536507423665439,2.5632506852101846,0.006270913527365805,0.82581507912729335,7.673384537447558e-05,7.6733845374474984e-05,0.0011692237981472031,0.010105061457653802,0.010105061457653724,0.15397479795739533,0.86995140982641295,0.078221235818140833,1,10,0.005536624433493495,0,6,0,1
production_moving,65,1,11,137312,32,32,32,0.015635558629127303,0.023296093285739138,0.0079114802756962525,1.9055198141214631,0.013846676278695928,0.88558884317066311,0.00010250720808409309,0.00010250720808409371,0.0015838679342634512,0.0065560310645462697,0.0065560310645463096,0.10129909470026109,0.80328353837334332,0.1449324179467365,1,11,0.0095313994572986203,0,6,0,1
production_moving,65,1,12,137312,32,32,32,0.013801985075358328,0.023296112105153702,0.0049689247199973486,2.1261599325860656,0.011850957593627897,0.85864153083213079,0.00014033578462234819,0.00014033578462235033,0.0016703559124858634,0.010167797157881275,0.010167797157881431,0.12102287485211598,0.73759522663791344,0.14864330188945429,1,12,0.012539285866549241,0,6,0,1
production_moving,65,1,13,137312,32,32,32,0.013119530950503199,0.019110800326450652,0.010720263244911599,2.2665895144873693,0.01089036464532739,0.83008795713917582,0.00018496914451381712,0.00018496914451382137,0.0018592280161481923,0.014098762006939176,0.0140987620069395,0.14171451884694716,0.58440306684021603,0.089031479083494361,1,13,0.011367855213231024,0,6,0,1
production_moving,65,1,14,141537,33,32,32,0.011959086059095276,0.021259076160159648,0.0065750755576295975,2.7457440098757049,0.0094329679592489845,0.78876997060113163,0.00010761034951849529,0.00045540266431312815,0.0019631050860147866,0.0089982084740208128,0.038080055788776559,0.16415176513608085,0.54394403951750658,0.026971225775783005,1,15,0.0096241404059655526,0,6,0,1
production_moving,65,1,15,141537,33,32,32,0.027923349446242401,0.028503924145808591,0.028059136073668878,1.8681055750471531,0.02513347801806054,0.90008822424570245,0.00014218321116860215,0.00051859799001024564,0.0021290902270030445,0.0050919110346103382,0.018572198546905786,0.076247666172782599,0.60451678103021211,0.13633086527823651,1,16,0.015936094803269244,0,6,0,1
