y,z,J_total_mag2,J_A_mag2,J_B_mag2,classification
3,10,1.47404451e-08,8.46963020e-09,8.46958450e-09,-1
3,11,3.68800526e-10,1.41984687e-09,1.41987939e-09,0
3,12,7.99513864e-08,2.17564668e-08,2.17566887e-08,-1
3,13,4.51120362e-08,1.96167858e-08,1.96174046e-08,-1
3,14,3.74819337e-09,7.60138374e-09,7.60151182e-09,-1
3,15,2.84743605e-09,2.84862514e-08,2.84839354e-08,-1
3,16,6.62264251e-10,1.31842576e-08,1.31854409e-08,1
3,17,4.34229392e-09,7.18298777e-08,7.18335831e-08,-1
3,18,1.46924385e-10,5.15161724e-09,5.15232078e-09,1
3,19,4.17567820e-09,4.34629715e-09,4.34637659e-09,-1
3,20,1.28633938e-08,4.52120702e-09,4.52143389e-09,-1
3,21,9.89189698e-10,1.04043694e-08,1.04046127e-08,-1
3,22,3.52963791e-09,2.47032206e-08,2.47037611e-08,-1
3,23,6.48757645e-10,8.88952468e-09,8.89044458e-09,1
3,24,2.05749445e-09,3.80275057e-08,3.80299039e-08,-1
3,25,6.33926117e-09,6.85422781e-08,6.85458499e-08,-1
3,26,2.24771471e-11,2.41355295e-08,2.41384487e-08,1
3,27,2.29357400e-09,1.54959130e-08,1.54978297e-08,-1
3,28,4.60028939e-09,2.92661004e-08,2.92677998e-08,-1
3,29,4.45678005e-09,2.08950562e-08,2.08971653e-08,-1
3,30,7.03786350e-09,1.63264204e-08,1.63285910e-08,-1
3,31,4.95707818e-10,1.43908094e-08,1.43921210e-08,1
3,32,6.51798782e-17,1.35554691e-08,1.35557508e-08,1
3,33,4.95744751e-10,1.43910197e-08,1.43903170e-08,1
3,34,7.03799778e-09,1.63269479e-08,1.63257137e-08,-1
3,35,4.45676328e-09,2.08955430e-08,2.08943971e-08,-1
3,36,4.60006174e-09,2.92661743e-08,2.92649073e-08,-1
3,37,2.29347363e-09,1.54962253e-08,1.54948554e-08,-1
3,38,2.24512291e-11,2.41361755e-08,2.41341785e-08,1
3,39,6.33889851e-09,6.85431580e-08,6.85400836e-08,-1
3,40,2.05717861e-09,3.80282870e-08,3.80259420e-08,-1
3,41,6.48916739e-10,8.89012311e-09,8.88933071e-09,1
3,42,3.52921602e-09,2.47036812e-08,2.47020090e-08,-1
3,43,9.88984769e-10,1.04045845e-08,1.04032308e-08,-1
3,44,1.28640249e-08,4.52113182e-09,4.52132846e-09,-1
3,45,4.17601494e-09,4.34650199e-09,4.34583285e-09,-1
3,46,1.46956592e-10,5.15149221e-09,5.15056833e-09,1
3,47,4.34247143e-09,7.18298458e-08,7.18277908e-08,-1
3,48,6.62242280e-10,1.31841778e-08,1.31840179e-08,1
3,49,2.84741932e-09,2.84849383e-08,2.84895194e-08,-1
3,50,3.74794367e-09,7.60099610e-09,7.60246035e-09,-1
3,51,4.51126862e-08,1.96182224e-08,1.96154981e-08,-1
3,52,7.99531807e-08,2.17578612e-08,2.17559747e-08,-1
3,53,3.68705026e-10,1.41997769e-09,1.41934777e-09,0
3,54,1.47395582e-08,8.46904765e-09,8.46988332e-09,-1
3,55,5.26277153e-10,1.43489865e-08,1.43485196e-08,1
3,56,4.70492752e-10,7.44448659e-08,7.44430751e-08,1
3,57,1.03730897e-08,1.04235628e-08,1.04237026e-08,-1
3,58,1.01918447e-08,1.20369635e-08,1.20368583e-08,-1
3,59,2.48521645e-08,7.02871530e-09,7.02842779e-09,-1
3,60,7.35874500e-08,2.58410508e-08,2.58416885e-08,-1
3,61,2.45246241e-09,1.42580102e-08,1.42564609e-08,-1
3,62,2.43546535e-08,3.81261812e-08,3.81233997e-08,-1
3,63,3.00284863e-09,6.50413415e-09,6.50454890e-09,-1
4,0,4.15100711e-17,3.79723529e-08,3.79700808e-08,1
4,1,1.15981185e-08,1.33010094e-08,1.33006177e-08,-1
4,2,3.82619084e-10,7.37449939e-09,7.37486207e-09,1
4,3,4.91355072e-09,9.13289759e-09,9.13293312e-09,-1
4,4,3.25343523e-08,4.14881212e-08,4.14880173e-08,-1
4,5,3.54550159e-08,2.49828260e-08,2.49828479e-08,-1
4,6,6.96455744e-10,3.47091452e-08,3.47098812e-08,1
4,7,4.21533320e-09,7.06642291e-09,7.06640321e-09,-1
4,8,5.33753336e-08,4.53268361e-08,4.53262688e-08,-1
4,9,7.39570954e-08,2.65474718e-08,2.65477793e-08,-1
4,10,2.93725419e-08,3.19438453e-08,3.19436713e-08,-1
4,11,1.21836717e-07,4.75552866e-08,4.75552291e-08,-1
4,12,1.27309942e-09,1.36689763e-08,1.36691017e-08,-1
4,13,1.76064738e-08,4.65237698e-08,4.65248481e-08,-1
4,14,3.64554665e-09,1.81554528e-08,1.81569072e-08,-1
4,15,5.12140159e-09,2.01889759e-08,2.01872174e-08,-1
4,16,2.23939423e-08,6.70537211e-08,6.70495508e-08,-1
4,17,2.99450234e-09,2.99538640e-08,2.99521539e-08,-1
4,18,5.58411873e-09,1.46908954e-08,1.46912708e-08,-1
4,19,1.41717182e-08,4.67067469e-09,4.67089821e-09,-1
4,20,7.25767622e-09,7.77631312e-09,7.77644759e-09,-1
4,21,6.58631075e-12,9.63217811e-09,9.63214079e-09,1
4,22,6.95080914e-11,6.50390353e-09,6.50324655e-09,1
4,23,2.05048387e-09,3.57251275e-09,3.57159799e-09,-1
4,24,3.80078802e-10,1.24641398e-08,1.24617464e-08,1
4,25,8.72140906e-10,2.12801599e-08,2.12782991e-08,-1
4,26,4.53392192e-09,7.34610454e-09,7.34567139e-09,-1
4,27,2.69120535e-09,1.74194410e-09,1.74222642e-09,-1
4,28,1.33138605e-08,1.20965277e-08,1.20972183e-08,-1
4,29,1.54767339e-09,1.16184605e-08,1.16182745e-08,-1
4,30,8.66951795e-09,6.99913019e-09,6.99789870e-09,-1
4,31,1.07024683e-10,1.25855309e-09,1.25802720e-09,0
4,32,1.14324201e-16,6.54806112e-13,6.55195362e-13,0
4,33,1.06997691e-10,1.25853415e-09,1.25890864e-09,0
4,34,8.66974496e-09,6.99875211e-09,6.99970006e-09,-1
4,35,1.54770981e-09,1.16184336e-08,1.16185246e-08,-1
4,36,1.33138734e-08,1.20968684e-08,1.20971881e-08,-1
4,37,2.69130217e-09,1.74217154e-09,1.74226167e-09,-1
4,38,4.53369101e-09,7.34582072e-09,7.34656290e-09,-1
4,39,8.71997861e-10,2.12798766e-08,2.12817451e-08,-1
4,40,3.79954294e-10,1.24631900e-08,1.24647208e-08,1
4,41,2.05016906e-09,3.57206800e-09,3.57270400e-09,-1
4,42,6.95743596e-11,6.50344644e-09,6.50454405e-09,1
4,43,6.60548262e-12,9.63170517e-09,9.63105056e-09,1
4,44,7.25703533e-09,7.77607765e-09,7.77480324e-09,-1
4,45,1.41709924e-08,4.67046112e-09,4.66992733e-09,-1
4,46,5.58372800e-09,1.46910612e-08,1.46888509e-08,-1
4,47,2.99468417e-09,2.99541919e-08,2.99539835e-08,-1
4,48,2.23942060e-08,6.70532117e-08,6.70585200e-08,-1
4,49,5.12139486e-09,2.01886608e-08,2.01913231e-08,-1
4,50,3.64566269e-09,1.81557713e-08,1.81544183e-08,-1
4,51,1.76069118e-08,4.65243141e-08,4.65212806e-08,-1
4,52,1.27292282e-09,1.36694344e-08,1.36671261e-08,-1
4,53,1.21834757e-07,4.75539627e-08,4.75564693e-08,-1
4,54,2.93713805e-08,3.19421747e-08,3.19462452e-08,-1
4,55,7.39589019e-08,2.65485790e-08,2.65480361e-08,-1
4,56,5.33769766e-08,4.53285971e-08,4.53257114e-08,-1
4,57,4.21573899e-09,7.06634578e-09,7.06625821e-09,-1
4,58,6.96613475e-10,3.47084128e-08,3.47085856e-08,1
4,59,3.54541380e-08,2.49829480e-08,2.49835932e-08,-1
4,60,3.25336740e-08,4.14884637e-08,4.14894915e-08,-1
4,61,4.91372595e-09,9.13287817e-09,9.13197281e-09,-1
4,62,3.82646521e-10,7.37465468e-09,7.37578974e-09,1
