y,z,Jx,Jy,Jz,mag,phase,state
53,21,-4.54951504e-05,-8.44334302e-05,-3.78178928e-05,1.03097070e-04,-2.06502224e+00,0
53,22,1.57283886e-05,-1.44494283e-04,-4.00323126e-05,1.50759962e-04,-1.46237192e+00,0
53,23,3.19101528e-05,8.87701990e-05,3.93174292e-05,1.02197193e-04,1.22571072e+00,0
53,24,4.83867522e-05,6.63533048e-05,3.05118444e-06,8.21787599e-05,9.40721741e-01,0
53,25,1.67320276e-05,-1.16844458e-04,-2.05455988e-04,2.36948836e-04,-1.42856412e+00,0
53,26,7.32057856e-06,-5.81715524e-05,-4.97328995e-04,5.00773052e-04,-1.44560977e+00,0
53,27,-1.05790366e-04,6.94370706e-05,-4.01661224e-04,4.21123316e-04,2.56075607e+00,0
53,28,-4.96197049e-05,-9.27775272e-05,-1.81226984e-04,2.09554299e-04,-2.06191396e+00,0
53,29,1.12578715e-04,4.09844316e-05,-1.14289306e-04,1.65576980e-04,3.49137463e-01,0
53,30,8.69802705e-05,1.21773719e-04,-1.45133529e-04,2.08466178e-04,9.50552047e-01,0
53,31,-7.03777019e-05,1.30057971e-04,-1.54875521e-04,2.14136694e-04,2.06680068e+00,0
53,32,2.88722848e-09,-5.03639797e-09,-1.72760811e-04,1.72760811e-04,-1.05026127e+00,0
53,33,7.03720092e-05,-1.30049137e-04,-1.54875248e-04,2.14129260e-04,-1.07479740e+00,0
53,34,-8.69747338e-05,-1.21783392e-04,-1.45133036e-04,2.08469175e-04,-2.19097293e+00,0
53,35,-1.12583979e-04,-4.09764154e-05,-1.14288518e-04,1.65578030e-04,-2.79253309e+00,0
53,36,4.96245214e-05,9.27690934e-05,-1.81226034e-04,2.09550885e-04,1.07960052e+00,0
53,37,1.05786023e-04,-6.94306926e-05,-4.01660013e-04,4.21120019e-04,-5.80813274e-01,0
53,38,-7.31696393e-06,5.81652515e-05,-4.97327667e-04,5.00770948e-04,1.69593513e+00,0
53,39,-1.67349191e-05,1.16848444e-04,-2.05454495e-04,2.36949712e-04,1.71304800e+00,0
53,40,-4.83847607e-05,-6.63566569e-05,3.05276082e-06,8.21803525e-05,-2.20082727e+00,0
53,41,-3.19111546e-05,-8.87691301e-05,3.93190280e-05,1.02197193e-04,-1.91589576e+00,0
53,42,-1.57282726e-05,1.44494364e-04,-4.00306782e-05,1.50759593e-04,1.67921988e+00,0
53,43,4.54962023e-05,8.44314767e-05,-3.78163858e-05,1.03095382e-04,1.07655110e+00,0
53,44,4.10615409e-05,-4.45931213e-05,9.91978631e-05,1.16253226e-04,-8.26605276e-01,0
53,45,8.01003492e-05,3.38116035e-06,8.54698552e-05,1.17186152e-04,4.21865113e-02,0
53,46,-8.46863823e-06,1.02123799e-04,8.23976083e-05,1.31492791e-04,1.65353224e+00,0
53,47,-1.27271336e-04,5.81346768e-05,-1.32456446e-04,1.92671596e-04,2.71311691e+00,0
53,48,-9.78330037e-05,-1.41811679e-04,4.88354581e-05,1.79071915e-04,-2.17469783e+00,0
53,49,-1.83454059e-05,8.18829948e-06,-1.41235418e-04,1.42657090e-04,2.72178605e+00,0
53,50,1.17430670e-04,4.64994924e-05,-9.30003818e-05,1.56847812e-04,3.77030879e-01,0
53,51,9.66445232e-05,-1.11019006e-04,4.65057579e-05,1.54363755e-04,-8.54507988e-01,0
53,52,3.22992190e-05,2.73316967e-05,-1.44576511e-04,1.50640727e-04,7.02285587e-01,0
53,53,-1.88739511e-05,-2.71301820e-05,2.00732072e-05,3.86678995e-05,-2.17861772e+00,0
