x,y,z,winding,filament_id,J_mag
20,56,0,6.283185,0,1.65172744e-04
21,3,0,-6.283185,0,3.37443065e-04
21,5,0,-6.283185,0,1.40611660e-04
21,6,0,6.283185,0,1.44909835e-04
21,10,0,6.283185,0,1.36970957e-04
21,12,0,-6.283185,0,1.69196985e-04
21,17,0,-6.283185,0,2.01912485e-04
21,31,0,-6.283185,0,2.07804669e-04
21,46,0,-6.283185,0,2.01912338e-04
21,51,0,-6.283185,0,1.69197468e-04
21,53,0,6.283185,0,1.36970916e-04
21,57,0,6.283185,0,1.44909322e-04
21,58,0,-6.283185,0,1.40610796e-04
21,60,0,-6.283185,0,3.37442909e-04
22,2,0,6.283185,0,2.67693249e-04
22,4,0,6.283185,0,2.30253059e-04
22,5,0,-6.283185,0,1.37035305e-04
22,11,0,-6.283185,0,1.94379916e-04
22,15,0,6.283185,0,1.84025885e-04
22,18,0,6.283185,0,1.32090844e-04
22,26,0,6.283185,0,1.97304187e-04
22,31,0,-6.283185,0,1.57929503e-04
22,37,0,6.283185,0,1.97303198e-04
22,45,0,6.283185,0,1.32090511e-04
22,48,0,6.283185,0,1.84025978e-04
22,52,0,-6.283185,0,1.94379953e-04
22,58,0,-6.283185,0,1.37034449e-04
22,59,0,6.283185,0,2.30253249e-04
22,61,0,6.283185,0,2.67693008e-04
23,0,0,-6.283185,0,2.10840816e-04
23,2,0,-6.283185,0,2.35058881e-04
23,3,0,6.283185,0,1.78154574e-04
23,5,0,6.283185,0,1.49263030e-04
23,7,0,6.283185,0,1.51363058e-04
23,12,0,6.283185,0,1.20416706e-04
23,14,0,-6.283185,0,1.71873586e-04
23,16,0,-6.283185,0,1.35912468e-04
23,17,0,6.283185,0,1.32474378e-04
23,18,0,-6.283185,0,1.20915513e-04
23,27,0,-6.283185,0,6.63452191e-05
23,36,0,-6.283185,0,6.63452643e-05
23,45,0,-6.283185,0,1.20915569e-04
23,46,0,6.283185,0,1.32474405e-04
23,47,0,-6.283185,0,1.35912053e-04
23,49,0,-6.283185,0,1.71873390e-04
23,51,0,6.283185,0,1.20417065e-04
23,56,0,6.283185,0,1.51362729e-04
23,58,0,6.283185,0,1.49262556e-04
23,60,0,6.283185,0,1.78154805e-04
23,61,0,-6.283185,0,2.35059635e-04
24,1,0,6.283185,0,2.51444313e-04
24,5,0,-6.283185,0,1.90435268e-04
24,8,0,-6.283185,0,3.09006736e-04
24,10,0,-6.283185,0,2.40817285e-04
24,11,0,6.283185,0,1.11183392e-04
24,12,0,-6.283185,0,6.80245725e-05
24,13,0,6.283185,0,1.13432352e-04
24,15,0,6.283185,0,1.46266128e-04
