x,z,density,Jx,Jy,Jz,state
2,16,1.27229503e-04,0.00000000e+00,0.00000000e+00,1.27229503e-04,0
2,17,9.22386585e-04,0.00000000e+00,0.00000000e+00,-9.22386585e-04,0
2,18,4.39295281e-04,0.00000000e+00,0.00000000e+00,4.39295281e-04,0
2,19,4.11713973e-05,0.00000000e+00,0.00000000e+00,4.11713973e-05,0
2,20,4.96460185e-04,0.00000000e+00,0.00000000e+00,-4.96460185e-04,0
2,21,1.02332731e-03,0.00000000e+00,0.00000000e+00,-1.02332731e-03,0
2,22,3.64188145e-04,0.00000000e+00,0.00000000e+00,-3.64188145e-04,0
2,23,5.95819837e-04,0.00000000e+00,0.00000000e+00,5.95819837e-04,0
2,24,3.46069790e-04,0.00000000e+00,0.00000000e+00,-3.46069790e-04,0
2,25,5.51018530e-04,0.00000000e+00,0.00000000e+00,5.51018530e-04,0
2,26,6.83485952e-04,0.00000000e+00,0.00000000e+00,6.83485952e-04,0
2,27,2.12998295e-03,0.00000000e+00,0.00000000e+00,2.12998295e-03,0
2,28,5.51797981e-04,0.00000000e+00,0.00000000e+00,5.51797981e-04,0
2,29,6.39559656e-04,0.00000000e+00,0.00000000e+00,6.39559656e-04,0
2,30,3.54928450e-04,0.00000000e+00,0.00000000e+00,-3.54928450e-04,0
2,31,1.18942809e-03,0.00000000e+00,0.00000000e+00,1.18942809e-03,0
2,32,6.05507211e-04,0.00000000e+00,0.00000000e+00,6.05507211e-04,0
2,33,1.18942809e-03,0.00000000e+00,0.00000000e+00,1.18942809e-03,0
2,34,3.54928450e-04,0.00000000e+00,0.00000000e+00,-3.54928450e-04,0
2,35,6.39559656e-04,0.00000000e+00,0.00000000e+00,6.39559656e-04,0
2,36,5.51797981e-04,0.00000000e+00,0.00000000e+00,5.51797981e-04,0
2,37,2.12998295e-03,0.00000000e+00,0.00000000e+00,2.12998295e-03,0
2,38,6.83485952e-04,0.00000000e+00,0.00000000e+00,6.83485952e-04,0
2,39,5.51018530e-04,0.00000000e+00,0.00000000e+00,5.51018530e-04,0
2,40,3.46069790e-04,0.00000000e+00,0.00000000e+00,-3.46069790e-04,0
2,41,5.95819837e-04,0.00000000e+00,0.00000000e+00,5.95819837e-04,0
2,42,3.64188145e-04,0.00000000e+00,0.00000000e+00,-3.64188145e-04,0
2,43,1.02332731e-03,0.00000000e+00,0.00000000e+00,-1.02332731e-03,0
2,44,4.96460185e-04,0.00000000e+00,0.00000000e+00,-4.96460185e-04,0
2,45,4.11713973e-05,0.00000000e+00,0.00000000e+00,4.11713973e-05,0
2,46,4.39295281e-04,0.00000000e+00,0.00000000e+00,4.39295281e-04,0
2,47,9.22386585e-04,0.00000000e+00,0.00000000e+00,-9.22386585e-04,0
2,48,1.27229503e-04,0.00000000e+00,0.00000000e+00,1.27229503e-04,0
2,49,6.76692282e-05,0.00000000e+00,0.00000000e+00,6.76692282e-05,0
2,50,3.27283123e-04,0.00000000e+00,0.00000000e+00,3.27283123e-04,0
2,51,2.00480455e-04,0.00000000e+00,0.00000000e+00,2.00480455e-04,0
2,52,7.71783370e-04,0.00000000e+00,0.00000000e+00,-7.71783370e-04,0
2,53,2.46321285e-04,0.00000000e+00,0.00000000e+00,2.46321285e-04,0
2,54,1.36046957e-03,0.00000000e+00,0.00000000e+00,1.36046957e-03,0
2,55,8.81691883e-04,0.00000000e+00,0.00000000e+00,8.81691883e-04,0
2,56,5.66990931e-04,0.00000000e+00,0.00000000e+00,-5.66990931e-04,0
2,57,1.48317054e-03,0.00000000e+00,0.00000000e+00,-1.48317054e-03,0
2,58,4.44500678e-04,0.00000000e+00,0.00000000e+00,-4.44500678e-04,0
2,59,1.50359137e-03,0.00000000e+00,0.00000000e+00,1.50359137e-03,0
2,60,1.16917232e-03,0.00000000e+00,0.00000000e+00,1.16917232e-03,0
2,61,8.30327281e-04,0.00000000e+00,0.00000000e+00,-8.30327281e-04,0
2,62,1.47176004e-03,0.00000000e+00,0.00000000e+00,-1.47176004e-03,0
2,63,1.75719858e-04,0.00000000e+00,0.00000000e+00,1.75719858e-04,0
3,0,1.00251071e-03,0.00000000e+00,0.00000000e+00,1.00251071e-03,0
3,1,9.58049649e-04,0.00000000e+00,0.00000000e+00,9.58049649e-04,0
3,2,1.31758422e-03,0.00000000e+00,0.00000000e+00,-1.31758422e-03,0
3,3,1.91454345e-03,0.00000000e+00,0.00000000e+00,-1.91454345e-03,0
3,4,1.32979960e-05,0.00000000e+00,0.00000000e+00,1.32979960e-05,0
3,5,1.16083678e-03,0.00000000e+00,0.00000000e+00,-1.16083678e-03,0
3,6,6.44936255e-04,0.00000000e+00,0.00000000e+00,6.44936255e-04,0
3,7,2.72363022e-03,0.00000000e+00,0.00000000e+00,2.72363022e-03,0
3,8,1.09837219e-04,0.00000000e+00,0.00000000e+00,1.09837219e-04,0
3,9,1.01401126e-03,0.00000000e+00,0.00000000e+00,1.01401126e-03,0
3,10,1.48635196e-03,0.00000000e+00,0.00000000e+00,1.48635196e-03,0
3,11,3.63281761e-04,0.00000000e+00,0.00000000e+00,3.63281761e-04,0
3,12,3.44384811e-04,0.00000000e+00,0.00000000e+00,3.44384811e-04,0
3,13,1.43217822e-03,0.00000000e+00,0.00000000e+00,-1.43217822e-03,0
3,14,4.93411176e-04,0.00000000e+00,0.00000000e+00,-4.93411176e-04,0
3,15,6.18805602e-04,0.00000000e+00,0.00000000e+00,-6.18805602e-04,0
3,16,1.41466955e-03,0.00000000e+00,0.00000000e+00,-1.41466955e-03,0
3,17,4.18285774e-04,0.00000000e+00,0.00000000e+00,-4.18285774e-04,0
3,18,5.18565094e-04,0.00000000e+00,0.00000000e+00,-5.18565094e-04,0
3,19,4.68814736e-04,0.00000000e+00,0.00000000e+00,4.68814736e-04,0
3,20,8.80922250e-04,0.00000000e+00,0.00000000e+00,-8.80922250e-04,0
3,21,1.06136236e-03,0.00000000e+00,0.00000000e+00,-1.06136236e-03,0
3,22,2.44021458e-04,0.00000000e+00,0.00000000e+00,-2.44021458e-04,0
