backend_label,actual_backend,L,arm,seed,dx,dy,dz,n,tick,source_before_real,source_before_imag,expected_loss_real,expected_loss_imag,predicted_next_real,predicted_next_imag,source_after_real,source_after_imag,source_hazard,expected_removals,removal_variance,actual_removed,occupancy_before,occupancy_after,eligible_sites,mean_site_probability,min_site_probability,max_site_probability,mean_local_energy,max_local_energy,history_evaporation,history_other,history_required,history_enabled,toggles_valid,structural_valid,execution_valid
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,20,0.0080509929680039807,-0.077062407070270053,0.00080509929680039056,-0.0077062407070267631,0.0072458936712035899,-0.069356166363243293,0.0075015766493838091,-0.069893065726719966,0.099999999999996883,396.00000000002154,356.39999999998054,380,3960,3580,3960,0.10000000000000545,0.10000000000000001,0.10000000000000001,0,0,380,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,21,0.0075015766493838091,-0.069893065726719966,0.00075015766493837172,-0.0069893065726717588,0.006751418984445437,-0.062903759154048208,0.0067030478948602191,-0.062467691270088291,0.099999999999996605,358.0000000000129,322.19999999999004,382,3580,3198,3580,0.1000000000000036,0.10000000000000001,0.10000000000000001,0,0,382,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,22,0.0067030478948602191,-0.062467691270088291,0.00067030478948601957,-0.006246769127008835,0.0060327431053741991,-0.056220922143079458,0.0057435918391105147,-0.056627352235145194,0.10000000000000009,319.80000000000422,287.8199999999996,315,3198,2883,3198,0.10000000000000132,0.10000000000000001,0.10000000000000001,0,0,315,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,23,0.0057435918391105147,-0.056627352235145194,0.00057435918391105455,-0.00566273522351459,0.00516923265519946,-0.050964617011630603,0.0052134794312701134,-0.051200420199119648,0.10000000000000123,288.29999999999706,259.47000000000747,288,2883,2595,2883,0.099999999999998979,0.10000000000000001,0.10000000000000001,0,0,288,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,24,0.0052134794312701134,-0.051200420199119648,0.00052134794312701726,-0.0051200420199119514,0.0046921314881430958,-0.046080378179207696,0.0052510796979982491,-0.046006473352186127,0.09999999999999977,259.49999999999051,233.55000000000757,262,2595,2333,2595,0.099999999999996342,0.10000000000000001,0.10000000000000001,0,0,262,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,25,0.0052510796979982491,-0.046006473352186127,0.00052510796979983074,-0.0046006473352185936,0.004725971728198418,-0.041405826016967531,0.004545615806802049,-0.041552630064561072,0.099999999999999589,233.29999999999103,209.97000000000668,231,2333,2102,2333,0.099999999999996161,0.10000000000000001,0.10000000000000001,0,0,231,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,26,0.004545615806802049,-0.041552630064561072,0.00045456158068020469,-0.0041552630064561492,0.0040910542261218446,-0.037397367058104924,0.0044219305304369653,-0.037555516324289259,0.10000000000000099,210.19999999999234,189.18000000000589,195,2102,1907,2102,0.099999999999996356,0.10000000000000001,0.10000000000000001,0,0,195,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,27,0.0044219305304369653,-0.037555516324289259,0.00044219305304369347,-0.0037555516324289805,0.0039797374773932722,-0.033799964691860279,0.0035565926073484674,-0.034070070608914059,0.10000000000000142,190.69999999999345,171.63000000000523,179,1907,1728,1907,0.099999999999996564,0.10000000000000001,0.10000000000000001,0,0,179,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,28,0.0035565926073484674,-0.034070070608914059,0.00035565926073484623,-0.0034070070608914699,0.003200933346613621,-0.03066306354802259,0.0034367267147429135,-0.030426463132843088,0.10000000000000187,172.79999999999447,155.52000000000461,179,1728,1549,1728,0.0999999999999968,0.10000000000000001,0.10000000000000001,0,0,179,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,29,0.0034367267147429135,-0.030426463132843088,0.0003436726714742924,-0.003042646313284355,0.0030930540432686209,-0.027383816819558732,0.0030804503583506081,-0.027054092909226526,0.1000000000000015,154.89999999999549,139.410000000004,165,1549,1384,1549,0.099999999999997091,0.10000000000000001,0.10000000000000001,0,0,165,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,30,0.0030804503583506081,-0.027054092909226526,0.00030804503583505992,-0.0027054092909226924,0.002772405322515548,-0.024348683618303835,0.0026541213107096925,-0.02442334685418214,0.10000000000000143,138.39999999999642,124.56000000000346,130,1384,1254,1384,0.09999999999999741,0.10000000000000001,0.10000000000000001,0,0,130,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,31,0.0026541213107096925,-0.02442334685418214,0.00026541213107096775,-0.0024423346854182538,0.0023887091796387246,-0.021981012168763886,0.0023983014626273481,-0.022114412135071964,0.1000000000000016,125.39999999999715,112.86000000000301,112,1254,1142,1254,0.09999999999999773,0.10000000000000001,0.10000000000000001,0,0,112,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,0,0.0625,-0.63457314922559527,0.0061954043502147355,-0.062902995987874022,0.056304595649785266,-0.5716701532377213,0.057267317936532072,-0.57269147529732678,0.099126469603445982,3135.2000853783129,2832.2647853064846,3087,32768,29681,32768,0.095678713543039334,0.070982009395745213,0.10000000000000001,0.012770366987580484,0.087568230771977076,3087,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,1,0.057267317936532072,-0.57269147529732678,0.0053368922106712471,-0.053009778127608348,0.051930425725860825,-0.51968169716971846,0.051410672965307436,-0.51892806938335689,0.092568779091210571,2452.9169320074056,2230.7995742485127,2478,29681,27203,29681,0.082642664735265173,0.01675103113216353,0.10000000000000001,0.073336659962843234,0.45648994374651009,2478,0,1,1,1,1,1
