seed,tick,idx,dx,dy,dz,shell,jmag
3759153154,6,16977,0,2,1,outer,1.980653392620166
3759153154,6,17871,1,-2,-1,outer,1.651122804461736
3759153154,6,17902,1,-1,-2,outer,1.6381808257819328
3759153154,6,17934,1,0,-2,outer,1.9738061469595765
3759153154,6,18000,1,2,0,outer,1.9750337012386954
3759153154,6,18001,1,2,1,outer,1.6413743767307778
3759153154,6,18927,2,-1,-1,outer,1.6584884915097027
3759153154,6,18993,2,1,1,outer,1.6574512790064377
3759153154,7,17873,1,-2,1,outer,1.8781031516642626
3759153154,8,16848,0,-2,0,SC2,3.3524401127289836
3759153154,8,16849,0,-2,1,outer,1.7393955208549448
3759153154,8,17872,1,-2,0,outer,2.169396390917317
3759153154,8,17938,1,0,2,outer,2.2341707956842214
3759153154,8,19984,3,0,0,outer,1.7395339477946072
3759153154,9,14831,-2,-1,-1,outer,2.408333082717736
3759153154,9,14832,-2,-1,0,outer,2.809080670595398
3759153154,9,14833,-2,-1,1,outer,2.2572622943016083
3759153154,9,14863,-2,0,-1,outer,2.721189809927003
3759153154,9,14865,-2,0,1,outer,2.702795874174528
3759153154,9,14896,-2,1,0,outer,2.6866453737739375
3759153154,9,15890,-1,0,2,outer,1.8583148753291272
3759153154,9,17906,1,-1,2,outer,2.068603643508022
3759153154,9,17966,1,1,-2,outer,2.2531612883032297
3759153154,9,17970,1,1,2,outer,1.8104279902919667
3759153154,9,17999,1,2,-1,outer,2.004380435254856
3759153154,10,13840,-3,0,0,outer,2.2952138078394833
3759153154,10,14895,-2,1,-1,outer,1.9614635060593248
3759153154,10,15952,-1,2,0,outer,2.0884163397851228
3759153154,11,15854,-1,-1,-2,outer,1.7676331435527486
3759153154,11,15858,-1,-1,2,outer,1.7889286196582959
3759153154,12,15951,-1,2,-1,outer,1.8825713658875873
3759153154,12,15953,-1,2,1,outer,1.8789697192537047
3759153154,12,18928,2,-1,0,outer,2.8740222212850317
3759153154,12,18959,2,0,-1,outer,2.872654759205234
3759153154,12,18961,2,0,1,outer,2.784940957564784
3759153154,12,18991,2,1,-1,outer,2.2113389303505344
3759153154,12,18992,2,1,0,outer,2.814922164928208
3759153154,14,14897,-2,1,1,outer,2.222016887920663
3759153154,14,19953,3,-1,1,outer,1.819530737060202
3759153154,16,13807,-3,-1,-1,outer,2.2964208287193486
3759153154,16,13809,-3,-1,1,outer,2.3394061370725123
3759153154,16,13873,-3,1,1,outer,2.1835145063153614
3759153154,16,14800,-2,-2,0,outer,2.5366327628157546
3759153154,16,14834,-2,-1,2,outer,1.603228079574694
3759153154,16,14862,-2,0,-2,outer,2.2643651677301513
3759153154,16,14928,-2,2,0,outer,1.7829043570251182
3759153154,16,15823,-1,-2,-1,outer,2.4753601095665374
3759153154,16,15918,-1,1,-2,outer,2.2264182126494805
3759153154,16,15922,-1,1,2,outer,2.14298923199699
3759153154,16,18929,2,-1,1,outer,1.858590925743245
3759153154,16,18958,2,0,-2,outer,1.594352044764548
3759153154,17,14830,-2,-1,-2,outer,1.8579664310547637
3759153154,17,14894,-2,1,-2,outer,1.915196878308221
3759153154,17,14898,-2,1,2,outer,1.7592546814200196
3759153154,17,14927,-2,2,-1,outer,1.9056719908268585
3759153154,18,14866,-2,0,2,outer,1.6153994069733264
3759153154,18,16846,0,-2,-2,outer,1.9402048410014
3759153154,18,16850,0,-2,2,outer,2.044381527356728
3759153154,18,16946,0,1,2,outer,1.8938401396428057
3759153154,18,16978,0,2,2,outer,1.9520492462612382
3759153154,18,18896,2,-2,0,outer,2.6318724152463457
3759153154,18,18962,2,0,2,outer,2.6281533222827007
3759153154,18,19024,2,2,0,outer,2.0568529322581752
3759153154,21,13808,-3,-1,0,outer,1.9076108321705145
3759153154,21,13841,-3,0,1,outer,1.8648308455724996
3759153154,21,13871,-3,1,-1,outer,2.5063463813594336
3759153154,21,13872,-3,1,0,outer,1.745337495595511
3759153154,21,14801,-2,-2,1,outer,2.172664865308138
3759153154,21,14929,-2,2,1,outer,1.9436013504173142
3759153154,21,19951,3,-1,-1,outer,2.1635491865165353
3759153154,21,20017,3,1,1,outer,2.093028725864591
3759153154,22,13839,-3,0,-1,outer,1.915750407184029
3759153154,23,16974,0,2,-2,outer,1.9713015684010635
3759153154,25,13744,-3,-3,0,outer,1.7320199968326204
3759153154,27,13838,-3,0,-2,outer,1.6867550786763175
3759153154,28,13776,-3,-2,0,outer,2.172664880393372
3759153154,28,14802,-2,-2,2,outer,1.78518593311097
3759153154,29,12816,-4,0,0,outer,1.9325829682403939
3759153154,29,13806,-3,-1,-2,outer,1.576764623438204
