ftd_id,axis,resolution,phase_index,phase,initializer_gate,common_gate,inward_impulse,separation_decrease,matter_parallel,pseudomomentum_parallel,matter_norm,pseudomomentum_norm
FTD-0603,2,16,12,0.75,6.728818890966437e-14,6.728818890966437e-14,0.00024017338866720751,0.00015665976366907586,1.9823828302760504e-05,1.9823828302760504e-05,0.0001174805307015985,0.0001174805307015985
FTD-0603,2,16,13,0.8125,6.5912553193214762e-14,6.5912770033649259e-14,0.0002831622916264386,0.00018469482577820884,-0.00013268615107051062,-0.00013268615107051062,0.00017089814092209182,0.00017089814092209182
FTD-0603,2,16,14,0.875,6.6865275364818819e-14,6.6862747977181058e-14,0.00031214940194531542,0.0002035942642226729,-0.00014386161630671498,-0.00014386161630671498,0.00017129871906261505,0.00017129871906261505
FTD-0603,2,16,15,0.9375,6.7308642942834207e-14,6.7305861405075884e-14,0.00032691449947866154,0.00021321958250464235,-6.8299152264103308e-05,-6.8299152264103308e-05,0.00010104553399589392,0.00010104553399589392
FTD-0603,0,32,0,0,6.7960688104637411e-14,6.7959526894867395e-14,0.00032738049650214793,0.00021352315587197523,5.1372327251614962e-05,5.1372327251614962e-05,6.7816324166733634e-05,6.7816324166733634e-05
FTD-0603,0,32,1,0.03125,6.8650055258523413e-14,6.8650163678740661e-14,0.00031754713227211069,0.00020710880223617778,0.00015914088714893916,0.00015914088714893916,0.0001626385063840931,0.0001626385063840931
FTD-0603,0,32,2,0.0625,6.9157136614594883e-14,6.9157136614594883e-14,0.0002993756559509883,0.00019525544603204992,0.00026152073835463915,0.00026152073835463915,0.0002629088485412285,0.0002629088485412285
FTD-0603,0,32,3,0.09375,6.9530205000497073e-14,6.9528259018236671e-14,0.00027288248896323883,0.00017797379008932523,0.00035489955706888532,0.00035489955706888532,0.00035590901481987667,0.00035590901481987667
FTD-0603,0,32,4,0.125,6.9760014438104059e-14,6.9759627761845078e-14,0.00023807845678357279,0.00015527088304079228,0.00043566642360894911,0.00043566642360894911,0.00043682057664111125,0.00043682057664111125
FTD-0603,0,32,5,0.15625,6.9749035330608459e-14,6.9747376277295992e-14,0.00019496878751172649,0.00012715011856645475,0.00050021240976022357,0.00050021240976022357,0.0005016899109927304,0.0005016899109927304
FTD-0603,0,32,6,0.1875,6.9673216848697983e-14,6.9673271058806607e-14,0.00014355311332790675,9.3611236638757589e-05,0.00054493116795283883,0.00054493116795283883,0.000546767091704195,0.000546767091704195
FTD-0603,0,32,7,0.21875,6.9254581654592498e-14,6.9249022748713029e-14,8.3825474907418747e-05,5.465032678220183e-05,0.00056621952270457198,0.00056621952270457198,0.00056837295116382407,0.00056837295116382407
FTD-0603,0,32,8,0.25,6.8969515428646266e-14,6.8969515428646266e-14,1.5774328885206722e-05,1.0259833546300001e-05,0.00056047806476607499,0.00056047806476607499,0.00056286157553528642,0.00056286157553528642
