# L=64 A=14.0000 dir=axial thermostat=on coupling=on gamma=0.0200 T=0.00500 seed=0xE0102000 backend=cpu
tick,manifested_count,cluster_size,positive_count,negative_count,genesis_events,evap_events
98,14,14,10,4,0,0
99,14,14,10,4,0,0
100,14,14,10,4,0,0
101,14,14,10,4,0,0
102,14,14,10,4,0,0
103,14,14,10,4,0,0
104,14,14,10,4,0,0
105,14,14,10,4,0,0
106,14,14,10,4,0,0
107,14,14,10,4,0,0
108,14,14,10,4,0,0
109,14,14,10,4,0,0
110,14,14,10,4,0,0
111,14,14,10,4,0,0
112,14,14,10,4,0,0
113,14,14,10,4,0,0
114,14,14,10,4,0,0
115,14,14,10,4,0,0
116,14,14,10,4,0,0
117,14,14,10,4,0,0
118,14,14,10,4,0,0
119,14,14,10,4,0,0
120,14,14,10,4,0,0
121,14,14,10,4,0,0
122,14,14,10,4,0,0
123,14,14,10,4,0,0
124,14,14,10,4,0,0
125,14,14,10,4,0,0
126,14,14,10,4,0,0
127,14,14,10,4,0,0
128,14,14,10,4,0,0
129,14,14,10,4,0,0
130,14,14,10,4,0,0
131,14,14,10,4,0,0
132,14,14,10,4,0,0
133,14,14,10,4,0,0
134,14,14,10,4,0,0
135,14,14,10,4,0,0
136,14,14,10,4,0,0
137,14,14,10,4,0,0
138,14,14,10,4,0,0
139,14,14,10,4,0,0
140,14,14,10,4,0,0
141,14,14,10,4,0,0
142,14,14,10,4,0,0
143,14,14,10,4,0,0
144,14,14,10,4,0,0
145,14,14,10,4,0,0
146,14,14,10,4,0,0
147,14,14,10,4,0,0
148,14,14,10,4,0,0
149,14,14,10,4,0,0
150,14,14,10,4,0,0
151,14,14,10,4,0,0
152,14,14,10,4,0,0
153,14,14,10,4,0,0
154,14,14,10,4,0,0
155,14,14,10,4,0,0
156,14,14,10,4,0,0
157,14,14,10,4,0,0
158,14,14,10,4,0,0
159,14,14,10,4,0,0
160,14,14,10,4,0,0
161,14,14,10,4,0,0
162,14,14,10,4,0,0
163,14,14,10,4,0,0
164,14,14,10,4,0,0
165,14,14,10,4,0,0
166,14,14,10,4,0,0
167,14,14,10,4,0,0
168,14,14,10,4,0,0
169,14,14,10,4,0,0
170,14,14,10,4,0,0
171,14,14,10,4,0,0
172,14,14,10,4,0,0
173,14,14,10,4,0,0
174,14,14,10,4,0,0
175,14,14,10,4,0,0
176,14,14,10,4,0,0
177,14,14,10,4,0,0
178,14,14,10,4,0,0
179,14,14,10,4,0,0
180,14,14,10,4,0,0
181,14,14,10,4,0,0
182,14,14,10,4,0,0
183,14,14,10,4,0,0
184,14,14,10,4,0,0
185,14,14,10,4,0,0
186,14,14,10,4,0,0
187,14,14,10,4,0,0
188,14,14,10,4,0,0
189,14,14,10,4,0,0
190,14,14,10,4,0,0
