label,A_form,B_form,seed_idx,converged,n_steps,d_BCC,d_axis,v_inf_x,v_inf_y,v_inf_z,final_step_norm
control_Brandom,A1_Gstar_powers,B_random_05,1,1,28,7.315904e-01,2.113390e-01,-0.1149016543,-0.1759632190,-0.9776679167,7.671251e-13
control_Brandom,A1_Gstar_powers,B_random_05,2,1,31,7.315904e-01,2.113390e-01,0.1149016543,0.1759632190,0.9776679167,5.193320e-13
control_Brandom,A1_Gstar_powers,B_random_05,3,1,28,7.315904e-01,2.113390e-01,0.1149016543,0.1759632190,0.9776679167,5.076243e-13
control_Brandom,A1_Gstar_powers,B_random_05,4,1,29,7.315904e-01,2.113390e-01,0.1149016543,0.1759632190,0.9776679167,5.660790e-13
control_Brandom,A1_Gstar_powers,B_random_06,0,1,25,7.264759e-01,2.119967e-01,0.1388377938,-0.1586244792,0.9775286909,3.277058e-13
control_Brandom,A1_Gstar_powers,B_random_06,1,1,25,7.264759e-01,2.119967e-01,-0.1388377938,0.1586244792,-0.9775286909,6.115237e-13
control_Brandom,A1_Gstar_powers,B_random_06,2,1,27,7.264759e-01,2.119967e-01,0.1388377938,-0.1586244792,0.9775286909,3.544020e-13
control_Brandom,A1_Gstar_powers,B_random_06,3,1,25,7.264759e-01,2.119967e-01,0.1388377938,-0.1586244792,0.9775286909,4.087860e-13
control_Brandom,A1_Gstar_powers,B_random_06,4,1,26,7.264759e-01,2.119967e-01,0.1388377938,-0.1586244792,0.9775286909,3.611082e-13
control_Brandom,A1_Gstar_powers,B_random_07,0,1,27,8.346412e-01,1.301596e-01,-0.1296633481,-0.0075624108,0.9915292361,4.761223e-13
control_Brandom,A1_Gstar_powers,B_random_07,1,1,27,8.346412e-01,1.301596e-01,0.1296633481,0.0075624108,-0.9915292361,5.199309e-13
control_Brandom,A1_Gstar_powers,B_random_07,2,1,29,8.346412e-01,1.301596e-01,0.1296633481,0.0075624108,-0.9915292361,7.420962e-13
control_Brandom,A1_Gstar_powers,B_random_07,3,1,27,8.346412e-01,1.301596e-01,-0.1296633481,-0.0075624108,0.9915292361,3.598353e-13
control_Brandom,A1_Gstar_powers,B_random_07,4,1,27,8.346412e-01,1.301596e-01,-0.1296633481,-0.0075624108,0.9915292361,9.132173e-13
control_Brandom,A1_Gstar_powers,B_random_08,0,1,28,7.223366e-01,2.186504e-01,-0.1296651487,0.1744235111,0.9760959932,6.643004e-13
control_Brandom,A1_Gstar_powers,B_random_08,1,1,28,7.223366e-01,2.186504e-01,0.1296651487,-0.1744235111,-0.9760959932,7.946456e-13
control_Brandom,A1_Gstar_powers,B_random_08,2,1,30,7.223366e-01,2.186504e-01,-0.1296651487,0.1744235111,0.9760959932,9.446594e-13
control_Brandom,A1_Gstar_powers,B_random_08,3,1,28,7.223366e-01,2.186504e-01,-0.1296651487,0.1744235111,0.9760959932,5.442341e-13
control_Brandom,A1_Gstar_powers,B_random_08,4,1,29,7.223366e-01,2.186504e-01,-0.1296651487,0.1744235111,0.9760959932,5.527212e-13
control_Brandom,A1_Gstar_powers,B_random_09,0,1,28,7.406114e-01,2.001357e-01,-0.1133049052,-0.1637535410,0.9799728447,4.403261e-13
control_Brandom,A1_Gstar_powers,B_random_09,1,1,28,7.406114e-01,2.001357e-01,0.1133049052,0.1637535410,-0.9799728447,5.585954e-13
control_Brandom,A1_Gstar_powers,B_random_09,2,1,30,7.406114e-01,2.001357e-01,0.1133049052,0.1637535410,-0.9799728447,5.737461e-13
control_Brandom,A1_Gstar_powers,B_random_09,3,1,28,7.406114e-01,2.001357e-01,-0.1133049052,-0.1637535410,0.9799728447,4.585661e-13
control_Brandom,A1_Gstar_powers,B_random_09,4,1,28,7.406114e-01,2.001357e-01,-0.1133049052,-0.1637535410,0.9799728447,8.210842e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_00,0,1,140,5.230773e-01,5.057155e-01,0.8721259129,0.4620672062,0.1609045959,9.240830e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_00,1,1,131,5.230773e-01,5.057155e-01,0.8721259129,0.4620672062,0.1609045959,6.293867e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_00,2,1,131,5.230773e-01,5.057155e-01,0.8721259129,0.4620672062,0.1609045959,9.091925e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_00,3,1,130,5.230773e-01,5.057155e-01,-0.8721259129,-0.4620672062,-0.1609045959,9.549222e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_00,4,1,131,5.230773e-01,5.057155e-01,-0.8721259129,-0.4620672062,-0.1609045959,7.653647e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_01,0,0,500,5.419941e-01,6.360490e-01,0.7977208359,0.5973453888,0.0825830150,1.155913e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_01,1,0,500,4.300688e-01,5.487294e-01,0.8494480405,0.4547269715,0.2676964846,8.903116e-02
control_Brandom,A2_Gstar_varpi_pi,B_random_01,2,0,500,4.946249e-01,5.983671e-01,0.8209784315,0.5515347342,0.1476612746,1.011968e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_01,3,0,500,4.437484e-01,5.590932e-01,-0.8437074026,-0.4824591667,-0.2353528656,9.015568e-02
control_Brandom,A2_Gstar_varpi_pi,B_random_01,4,0,500,4.240649e-01,5.441908e-01,-0.8519281983,-0.4391727016,-0.2852116463,8.919453e-02
control_Brandom,A2_Gstar_varpi_pi,B_random_02,0,0,500,8.384492e-01,1.322755e-01,0.0000000000,0.1319858339,0.9912516026,8.109631e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_02,1,0,500,6.652556e-01,4.754148e-01,0.0000000000,-0.8869903859,0.4617878899,6.404012e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_02,2,0,500,6.229675e-01,6.144391e-01,0.0000000000,-0.5847240001,0.8112322995,7.821679e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_02,3,0,500,6.518397e-01,5.125550e-01,-0.0000000000,0.8686437091,-0.4954372882,6.518758e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_02,4,0,500,6.859434e-01,4.241886e-01,0.0000000000,0.9100319970,-0.4145380134,6.255016e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_03,0,1,91,5.187395e-01,4.690708e-01,0.8899862696,-0.1985206471,0.4105045585,8.698914e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_03,1,1,80,5.187395e-01,4.690708e-01,-0.8899862696,0.1985206470,-0.4105045585,8.044515e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_03,2,1,81,5.187395e-01,4.690708e-01,-0.8899862696,0.1985206470,-0.4105045585,7.691917e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_03,3,1,82,5.187395e-01,4.690708e-01,0.8899862696,-0.1985206470,0.4105045585,9.309481e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_03,4,1,78,5.187395e-01,4.690708e-01,0.8899862696,-0.1985206471,0.4105045585,6.949660e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_04,0,1,204,3.749831e-01,5.852433e-01,-0.3283739676,-0.8287451135,0.4531578911,9.870388e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_04,1,1,226,3.749831e-01,5.852433e-01,0.3283739676,0.8287451135,-0.4531578911,7.124070e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_04,2,1,215,3.749831e-01,5.852433e-01,-0.3283739676,-0.8287451135,0.4531578911,8.515674e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_04,3,1,218,3.749831e-01,5.852433e-01,-0.3283739676,-0.8287451135,0.4531578911,8.748730e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_04,4,1,222,3.749831e-01,5.852433e-01,0.3283739676,0.8287451135,-0.4531578911,7.887995e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_05,0,0,500,5.598747e-01,7.545503e-01,0.7153269514,0.6971304913,-0.0481293125,5.739252e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_05,1,0,500,6.314090e-01,4.351808e-01,0.4203294666,-0.0611478620,0.9053088305,1.153628e+00
control_Brandom,A2_Gstar_varpi_pi,B_random_05,2,0,500,2.684394e-01,6.918392e-01,0.7606792291,0.5187383452,0.3902276766,6.949482e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_05,3,0,500,6.411011e-01,4.183810e-01,-0.0587411352,0.4048853448,-0.9124786774,1.042882e+00
control_Brandom,A2_Gstar_varpi_pi,B_random_05,4,0,500,3.616155e-01,7.537921e-01,-0.6512898931,-0.2516157014,-0.7158987456,1.035638e+00
control_Brandom,A2_Gstar_varpi_pi,B_random_06,0,1,38,3.839801e-01,6.313320e-01,0.8007099814,-0.2677854393,0.5358679727,9.884931e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_06,1,1,40,3.839801e-01,6.313320e-01,0.8007099814,-0.2677854393,0.5358679727,7.636394e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_06,2,1,38,3.839801e-01,6.313320e-01,0.8007099814,-0.2677854393,0.5358679727,6.178058e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_06,3,1,43,3.839801e-01,6.313320e-01,0.8007099814,-0.2677854393,0.5358679727,5.749750e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_06,4,1,39,3.839801e-01,6.313320e-01,-0.8007099814,0.2677854393,-0.5358679727,8.388279e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_07,0,1,390,6.412137e-01,4.753205e-01,-0.4608459302,-0.8870352183,0.0280989338,9.885872e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_07,1,1,389,6.412137e-01,4.753205e-01,0.4608459302,0.8870352183,-0.0280989338,9.792328e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_07,2,1,380,6.412137e-01,4.753205e-01,0.4608459302,0.8870352183,-0.0280989338,9.421762e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_07,3,1,389,6.412137e-01,4.753205e-01,-0.4608459302,-0.8870352183,0.0280989338,9.558458e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_07,4,1,390,6.412137e-01,4.753205e-01,-0.4608459302,-0.8870352183,0.0280989338,9.730112e-13
control_Brandom,A2_Gstar_varpi_pi,B_random_08,0,0,500,4.165991e-01,7.663722e-01,0.6805182483,-0.7063368079,-0.1948928615,5.428706e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_08,1,0,500,7.199763e-01,2.538325e-01,-0.2403507374,0.0749975728,-0.9677845251,8.489390e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_08,2,0,500,1.897338e-01,7.663856e-01,0.4400918118,-0.5544564631,-0.7063265730,1.020210e+00
control_Brandom,A2_Gstar_varpi_pi,B_random_08,3,0,500,4.839347e-01,4.840230e-01,0.3995332054,-0.2468398761,0.8828608573,7.320575e-01
control_Brandom,A2_Gstar_varpi_pi,B_random_08,4,0,500,7.617511e-01,2.140962e-01,-0.0442239199,0.2082214659,0.9770814020,1.006376e+00
control_Brandom,A2_Gstar_varpi_pi,B_random_09,0,0,500,1.358647e-01,8.116113e-01,0.6706435609,0.4792100248,-0.5662110616,6.564797e-02
control_Brandom,A2_Gstar_varpi_pi,B_random_09,1,0,500,3.166309e-01,6.627328e-01,0.3401734911,0.7803925848,-0.5246612331,8.533004e-02
control_Brandom,A2_Gstar_varpi_pi,B_random_09,2,0,500,1.051434e-01,8.306704e-01,0.5090104730,0.6549933604,-0.5584729503,6.691851e-02
control_Brandom,A2_Gstar_varpi_pi,B_random_09,3,0,500,3.557265e-01,6.325235e-01,-0.3068236594,-0.7999569940,0.5156821208,9.020087e-02
control_Brandom,A2_Gstar_varpi_pi,B_random_09,4,0,500,2.297306e-01,7.310671e-01,-0.4119995661,-0.7327704743,0.5415752851,7.605000e-02
