backend_label,actual_backend,L,profile,arm,seed,dx,dy,dz,n,tick,source_real,source_imag,source_abs,div_real,div_imag,div_abs,occupancy,global_charge,removed_since_last,cumulative_removed,history_evaporation,history_other,history_required,history_enabled,toggles_valid,event_valid,source_valid,field_valid,execution_valid
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,9,0.013999054280938127,-0.29565400318459489,0.29598524138854815,0.00088908929436473986,-0.018105762628206391,0.018127578992306423,136935,-531,6897,125209,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,10,0.012532891997778222,-0.27679357012586775,0.27707716225782963,0.0010524404008139102,-0.021452771525493613,0.021478571575463179,130944,-446,5991,131200,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,11,0.011890414956518592,-0.26003244098861178,0.26030415350957053,0.0012226987804220804,-0.024958078796175179,0.024988010915311661,125744,-276,5200,136400,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,12,0.011276502733719228,-0.24587553871807344,0.24613398801020231,0.0013987905890824799,-0.028596675834068153,0.028630865929462967,121440,-144,4304,140704,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,13,0.010455948880426669,-0.23323312184431719,0.23346737671939563,0.0015796466995879074,-0.032345263448793835,0.03238381310573845,117631,-173,3809,144513,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,14,0.0099478241483162283,-0.22215949766610407,0.22238210721310633,0.0017640130987751704,-0.03618143230488708,0.036224408702500266,114365,-149,3266,147779,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,15,0.0095612526139182037,-0.21228753721100957,0.2125027435273788,0.0019508809167446384,-0.040083779430084281,0.040131226118210815,111488,-62,2877,150656,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,2,1,0,0,1,16,0.0091557261152286212,-0.20395461850785743,0.20416001991423968,0.0021393330128209988,-0.044031675618429765,0.044083616043904206,109099,-45,2389,153045,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,0,0.031250000000000007,-0.63610836328225195,0.63687550772315416,0,0,0,262144,0,0,0,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,1,0.02803978550017551,-0.57297944009474411,0.57366511863820191,2.5647010037551834e-05,-0.00052205688249716748,0.00052268648125480311,236668,-16,25476,25476,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,2,0.025507993421703828,-0.51873965274477618,0.51936642657970555,7.4224061625106601e-05,-0.0015126845697187015,0.0015145044796200441,215598,156,21070,46546,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,3,0.023089133520889905,-0.47262506663939918,0.47318871679557406,0.00014349736087619096,-0.0029241881384168248,0.0029277069118059081,198345,75,17253,63799,0,0,0,0,1,1,1,1,1
